et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
| d | Job concept | Unit of work |
| e | Job queue | Thread-safe queue |
| f | Job submission | Enqueue work |
| g | Job execution | Worker picks job |
| h | Job dependencies | A before B |
| i | Job graph | DAG of jobs |
| j | Job priorities | Important first |
| k | Job stealing | Balance load |
| l | Mutex | std::mutex |
| m | Lock guard | RAII locking |
| n | Condition variable | Wait/notify |
| o | Atomic operations | std::atomic |
| p | Lock-free queue | CAS-based |
| q | Spinlock | Busy-wait lock |
| r | Read-write lock | Shared/exclusive |
| s | Thread-local storage | Per-thread data |
| t | Parallel for | Parallelize loops |
| u | Future/Promise | Async results |
| v | Task graph | Visual dependencies |
| w | Fiber-based jobs | Lightweight switching |
| x | Job batching | Reduce overhead |
| y | Synchronization points | Wait for jobs |
| z | Deadlock detection | Debug tool |
| aa | Race detection | ThreadSanitizer |
| ab | Performance scaling | 2x, 4x, 8x cores |

### Sous-module 3.1.16 : World Chunking System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Chunk concept | World divided into cells |
| b | Chunk size | 32x32 ou 64x64 meters |
| c | Chunk coordinates | Grid position |
| d | Active chunks | Around player |
| e | Load radius | How far to load |
| f | Unload radius | When to unload |
| g | Chunk loading | Async from disk |
| h | Chunk saving | Persist changes |
| i | Chunk streaming | Seamless transitions |
| j | Chunk LOD | Distance-based detail |

### Sous-module 3.1.17 : Asset Pipeline
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Source assets | FBX, PSD, WAV |
| b | Cooked assets | Engine format |
| c | Import settings | Per-asset config |
| d | Asset database | Track all assets |
| e | Dependency tracking | What uses what |
| f | Incremental cook | Only changed |
| g | Platform variants | PC, console |
| h | Compression | Size optimization |
| i | Asset bundles | Group related |

### Sous-module 3.1.18 : Terrain System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Heightmap | 2D height data |
| b | Terrain chunks | Tiled terrain |
| c | LOD levels | Distance detail |
| d | Texture splatting | Blend materials |
| e | Procedural generation | Noise-based |
| f | Terrain collision | Physics mesh |
| g | Vegetation placement | Grass, trees |
| h | Water bodies | Lakes, ocean |

### Sous-module 3.1.19 : Day/Night Cycle
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Time of day | 0-24 hours |
| b | Day length | Real minutes per game hour |
| c | Sun position | Based on time |
| d | Moon position | Night lighting |
| e | Sky color | Interpolate by time |
| f | Light intensity | Varies with time |
| g | Temperature | Day warmer, night colder |
| h | Animal behavior | Nocturnal vs diurnal |
| i | Events | Dawn, dusk triggers |
| j | Server sync | Same time all players |
| k | UI display | Show current time |
| l | Time persistence | Save current time |

### Sous-module 3.1.20 : Save System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Save data | What to persist |
| b | Player data | Stats, inventory, position |
| c | World data | Buildings, containers |
| d | Entity data | All dynamic entities |
| e | Save format | Binary, versioned |
| f | Save location | User directory |
| g | Auto-save | Periodic saves |
| h | Manual save | Player triggered |
| i | Save slots | Multiple saves |
| j | Quick save | Fast save |
| k | Load game | Restore state |
| l | Save validation | Corruption check |

### Sous-module 3.1.21 : Streaming System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Stream trigger | Player position |
| b | Load requests | Queue chunks |
| c | Priority sorting | Nearest first |
| d | Background loading | Worker thread |
| e | Completion callback | When ready |
| f | Memory management | Budget limits |
| g | Cancellation | Stop unneeded loads |
| h | Prefetching | Predict movement |

### Sous-module 3.1.22 : Debug Tools Implementation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Debug console | Text commands |
| b | Console commands | Register handlers |
| c | Command parsing | Arguments |
| d | Command history | Up arrow recall |
| e | Autocomplete | Tab completion |
| f | God mode | Invincibility |
| g | Noclip | Fly through walls |
| h | Spawn commands | Create entities |
| i | Teleport | Move player |
| j | Time control | Speed up/slow down |
| k | Weather control | Force conditions |
| l | Free camera | Detached view |
| m | Entity inspector | View components |

### Sous-module 3.1.23 : Profiler Implementation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Frame profiler | Time per frame section |
| b | Scope markers | Begin/end zones |
| c | Hierarchical view | Nested timings |
| d | History graph | Frame time over time |
| e | Memory profiler | Allocations per frame |
| f | GPU profiler | Draw call timing |
| g | Network profiler | Bandwidth usage |
| h | Export data | Save for analysis |
| i | Tracy integration | External profiler |

### Sous-module 3.1.24 : Statistics System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Frame statistics | FPS, frame time |
| b | Entity count | Per type |
| c | Draw calls | Render stats |
| d | Triangle count | Geometry complexity |
| e | Memory usage | Per allocator |
| f | Network stats | Packets, bandwidth |
| g | Physics stats | Collision counts |
| h | Cache stats | Resource hits/misses |
| i | Stat display | On-screen HUD |
| j | Stat logging | Write to file |
| k | Stat alerts | Warn on threshold |

### Sous-module 3.1.25 : Engine Optimizations
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Data-oriented design | Cache-friendly |
| b | SIMD | Vectorization |
| c | Multithreading | Parallel systems |
| d | Job system | Task parallelism |
| e | Object pooling | Reduce allocations |
| f | Spatial partitioning | Fast queries |
| g | LOD system | Distance-based detail |
| h | Culling | Don't process invisible |
| i | Batching | Reduce API calls |

### Sous-module 3.1.26 : Tooling & Editor (ImGui)
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | ImGui integration | Dear ImGui setup |
| b | ImGui backend | OpenGL/Vulkan/DirectX |
| c | ImGui input | Forward input events |
| d | Debug overlay | FPS, stats |
| e | Scene hierarchy panel | List all entities |
| f | Entity tree | Parent-child display |
| g | Entity selection | Click to select |
| h | Inspector panel | View components |
| i | Component editing | Modify values live |
| j | Add/remove components | Runtime modification |
| k | Transform gizmos | Visual translation handle |
| l | Rotation gizmo | Visual rotation handle |
| m | Scale gizmo | Visual scale handle |
| n | Gizmo modes | Local vs world space |
| o | Gizmo snapping | Grid snap |
| p | Console window | ImGui console |
| q | Log window | Scrolling log display |
| r | Resource browser | View loaded assets |
| s | Texture preview | Show textures |
| t | Mesh preview | Show meshes |
| u | Material editor | Tweak materials |
| v | Performance graphs | Frame time history |
| w | Memory visualizer | Allocation display |
| x | Network debugger | Packet inspector |
| y | ImGui docking | Multi-window layout |
| z | Layout saving | Remember panel positions |
| aa | Undo/redo | Editor actions |
| ab | Editor vs game mode | Toggle editor overlay |

### Sous-module 3.1.27 : Scripting Layer (Lua)
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Lua overview | Lightweight embeddable language |
| b | lua_State | Lua virtual machine |
| c | Lua C API | Interface with C/C++ |
| d | lua_pcall | Execute Lua code |
| e | lua_pushXXX | Push values to stack |
| f | lua_toXXX | Get values from stack |
| g | lua_getglobal | Access Lua globals |
| h | lua_setglobal | Set Lua globals |
| i | luaL_dofile | Load and run script |
| j | luaL_dostring | Run inline code |
| k | Tables | Lua's main data structure |
| l | Metatables | Operator overloading |
| m | __index metamethod | Property access |
| n | __newindex metamethod | Property setting |
| o | Binding functions | Expose C++ to Lua |
| p | lua_register | Register C function |
| q | Userdata | Wrap C++ objects |
| r | Light userdata | Raw pointers |
| s | Full userdata | Managed memory |
| t | Class binding | Expose C++ classes |
| u | Method binding | Class methods in Lua |
| v | Property binding | Get/set properties |
| w | Inheritance in Lua | Prototype-based |
| x | Sol2 library | Modern C++ binding |
| y | LuaBridge | Alternative binding |
| z | Script components | Attach scripts to entities |
| aa | Script lifecycle | Awake, Start, Update |
| ab | Script communication | Call between scripts |
| ac | Hot reloading | Detect file changes |
| ad | Reload mechanism | Unload old, load new |
| ae | State preservation | Keep data across reload |
| af | Error handling | Lua errors to C++ |
| ag | Sandboxing | Limit script capabilities |
| ah | Debug hooks | Lua debugging |
| ai | Performance | Lua vs C++ speed |
| aj | Game events in Lua | OnDamage, OnDeath |
| ak | Coroutines | Async Lua code |
| al | Script examples | NPC behavior, quests |

### Tests : Engine Core Validation
| # | Test | Contenu |
|---|------|---------|
| a | Game loop stability | Run 24h sans crash |
| b | Memory leaks | Valgrind/ASan clean |
| c | Frame time consistency | Pas de spikes |
| d | Entity stress test | 100K entities |
| e | Component iteration | Performance benchmark |
| f | Resource loading | Async correctness |
| g | Hot reload | Assets update |
| h | Serialization | Save/load cycle |
| i | Determinism | Same input = same output |
| j | Thread safety | No races |
| k | Memory budgets | Respect limits |
| l | Profiler accuracy | Measure overhead |
| m | Edge cases | Empty world, max entities |
| n | Long play | Memory stability |
| o | Job system scaling | 2-16 cores |
| p | Lua scripts | Hot reload works |

### LeetCode Engine Core (Vendredi 10h)
| # | Problème | Difficulté |
|---|----------|------------|
| a | LC 146 LRU Cache | Medium |
| b | LC 380 Insert Delete GetRandom O(1) | Medium |
| c | LC 355 Design Twitter | Medium |
| d | LC 622 Design Circular Queue | Medium |
| e | LC 707 Design Linked List | Medium |
| f | LC 1396 Design Underground System | Medium |
| g | LC 1188 Design Bounded Blocking Queue | Medium |
| h | LC 1117 Building H2O | Medium |

### PROJET 3.1 : Engine Core Complet + Editor + Scripting (Samedi-Dimanche 32h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Game loop | Fixed + variable timestep |
| b | Entity system | ID + components |
| c | Component storage | Pools, sparse sets |
| d | System architecture | Update loop |
| e | Resource manager | Load, cache, unload |
| f | Event system | Queue, dispatch |
| g | Input system | Keyboard, mouse |
| h | Config system | Load/save settings |
| i | Logging | Levels, output |
| j | State machine | Game states |
| k | Debug console | Commands |
| l | Profiler | Frame timing |
| m | Memory tracking | Leak detection |
| n | Job system | Thread pool, parallel for |
| o | ImGui editor | Hierarchy, inspector |
| p | Transform gizmos | Move, rotate, scale |
| q | Lua scripting | Basic integration |
| r | Script hot reload | Live code changes |
| s | Bonus : Fiber jobs | Lightweight tasks |

---

## Module 3.2 : Rendering System (Weeks 47-50, 280h, 4000 XP)

### Sous-module 3.2.1 : Renderer Architecture
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Rendering overview | Frame rendering process |
| b | Target resolution | 1920x1080, 4K support |
| c | Target framerate | 60+ FPS |
| d | Forward rendering | Simple, transparent-friendly |
| e | Deferred rendering | G-buffer, many lights |
| f | Forward+ | Tiled light culling |
| g | Render pipeline choice | Hybrid approach |
| h | Graphics API | OpenGL 4.5+ |
| i | Vulkan option | Modern, explicit |
| j | DirectX 12 option | Windows alternative |
| k | API abstraction | Backend interface |
| l | GPU memory | VRAM management |
| m | Render thread | Separate from game |
| n | Command buffer | Queue render commands |
| o | Command list | Group commands |
| p | State management | Minimize changes |
| q | Pipeline state objects | Cached states |
| r | Render passes | Organize rendering |
| s | Framebuffer objects | Render targets |

### Sous-module 3.2.2 : Shader System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Shader languages | GLSL, HLSL |
| b | Vertex shader | Transform vertices |
| c | Fragment shader | Color pixels |
| d | Geometry shader | Generate primitives |
| e | Compute shader | General GPU compute |
| f | Tessellation | Subdivision |
| g | Shader compilation | Runtime or offline |
| h | Shader caching | Avoid recompile |
| i | Shader hot reload | Dev iteration |
| j | Uniform buffers | Shader parameters |
| k | Push constants | Fast small data |
| l | Shader includes | Shared code |
| m | Shader variants | Permutations |
| n | Shader defines | Conditional compilation |
| o | Shader reflection | Query inputs/outputs |
| p | Shader debugging | RenderDoc, NSight |

### Sous-module 3.2.3 : Mesh System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Mesh concept | Geometry data |
| b | Vertex buffer | Position, normal, UV |
| c | Index buffer | Triangle indices |
| d | Vertex format | Attribute layout |
| e | Position | vec3 xyz |
| f | Normal | vec3 direction |
| g | Tangent | vec4 with handedness |
| h | UV coordinates | vec2 texture coords |
| i | Vertex colors | vec4 RGBA |
| j | Bone weights | vec4 weights |
| k | Bone indices | ivec4 indices |
| l | Mesh loading | OBJ format |
| m | FBX loading | Autodesk format |
| n | glTF loading | Modern standard |
| o | Mesh optimization | Vertex cache |
| p | Mesh compression | Reduce size |
| q | Mesh bounds | AABB, sphere |
| r | Submeshes | Material groups |

### Sous-module 3.2.4 : Material System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Material concept | Surface appearance |
| b | PBR workflow | Physically-based |
| c | Metallic-roughness | Standard PBR |
| d | Specular-glossiness | Alternative PBR |
| e | Albedo | Base color |
| f | Normal map | Surface detail |
| g | Roughness | Surface smoothness |
| h | Metallic | Metal vs dielectric |
| i | Ambient occlusion | Cavity shadows |
| j | Emissive | Self-illumination |
| k | Height/displacement | Geometry detail |
| l | Material parameters | Shader uniforms |
| m | Material instances | Shared shader, different params |
| n | Material slots | Per-submesh |
| o | Material sorting | Batch similar |
| p | Texture binding | Assign to slots |
| q | Material editor | Visual tweaking |

### Sous-module 3.2.5 : Texture System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Texture types | 2D, cubemap, array |
| b | Texture formats | RGBA8, BC1-7, ASTC |
| c | Texture loading | PNG, JPG, DDS, KTX |
| d | Mipmaps | LOD for textures |
| e | Mipmap generation | Auto or manual |
| f | Texture filtering | Linear, anisotropic |
| g | Texture wrapping | Repeat, clamp, mirror |
| h | Texture compression | GPU formats |
| i | Texture streaming | Load on demand |
| j | Texture atlases | Combine textures |
| k | Virtual texturing | Huge textures |
| l | Bindless textures | No slot limits |
| m | Texture arrays | Same size, indexed |
| n | Cubemaps | Environment maps |
| o | VRAM budget | Memory management |

### Sous-module 3.2.6 : Camera System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Camera component | View parameters |
| b | Position | World location |
| c | Orientation | Rotation quaternion |
| d | Field of view | Angle in degrees |
| e | Aspect ratio | Width / height |
| f | Near plane | Minimum distance |
| g | Far plane | Maximum distance |
| h | View matrix | World to camera |
| i | Projection matrix | Camera to clip |
| j | Perspective | 3D projection |
| k | Orthographic | 2D projection |
| l | First-person camera | FPS controls |
| m | Third-person camera | Follow player |
| n | Free camera | Debug fly mode |
| o | Camera smoothing | Interpolation |
| p | Camera shake | Impact effects |
| q | Camera collision | Don't clip walls |
| r | Camera zoom | FOV or distance |
| s | Multiple cameras | Minimap, mirrors |

### Sous-module 3.2.7 : Lighting System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Light types | Directional, point, spot, area |
| b | Directional light | Sun, moon |
| c | Point light | Omnidirectional |
| d | Spot light | Cone shape |
| e | Area light | Soft shadows |
| f | Light color | RGB tint |
| g | Light intensity | Brightness |
| h | Light range | Attenuation distance |
| i | Attenuation | Falloff curve |
| j | Spot angle | Cone size |
| k | Spot softness | Edge falloff |
| l | Light culling | Per-tile/cluster |
| m | Light sorting | Priority |
| n | Max lights | Performance limit |
| o | Light probes | Indirect lighting |
| p | Reflection probes | Environment reflections |
| q | IBL | Image-based lighting |
| r | Ambient light | Minimum illumination |
| s | Light cookies | Projected patterns |

### Sous-module 3.2.8 : Shadow System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Shadow mapping | Depth from light |
| b | Shadow map resolution | 1024, 2048, 4096 |
| c | Shadow atlas | Multiple lights in one texture |
| d | Directional shadows | Parallel projection |
| e | Cascaded shadow maps | CSM for sun |
| f | Cascade splits | Distance-based |
| g | Cascade blending | Smooth transitions |
| h | Point light shadows | Cubemap or dual paraboloid |
| i | Spot light shadows | Single frustum |
| j | Shadow bias | Prevent acne |
| k | Slope-scale bias | Angle-based |
| l | Normal offset | Push along normal |
| m | PCF | Percentage-closer filtering |
| n | PCSS | Percentage-closer soft shadows |
| o | VSM | Variance shadow maps |
| p | ESM | Exponential shadow maps |
| q | Shadow distance | Max range |
| r | Shadow culling | Only shadow casters |
| s | Static shadows | Cached, baked |
| t | Shadow quality settings | User options |

### Sous-module 3.2.9 : Post-Processing Pipeline
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Post-process concept | Full-screen effects |
| b | Effect stack | Chain of passes |
| c | HDR rendering | High dynamic range |
| d | HDR framebuffer | 16-bit float |
| e | Tone mapping | HDR to LDR |
| f | Reinhard | Simple tone map |
| g | ACES | Film-like |
| h | Exposure | Brightness control |
| i | Auto-exposure | Adaptive |
| j | Bloom | Bright glow |
| k | Bloom threshold | Brightness cutoff |
| l | Bloom blur | Gaussian passes |
| m | SSAO | Screen-space ambient occlusion |
| n | HBAO | Horizon-based AO |
| o | GTAO | Ground-truth AO |
| p | SSR | Screen-space reflections |
| q | Motion blur | Movement blur |
| r | Depth of field | Focus blur |
| s | Bokeh | Out-of-focus shapes |
| t | Anti-aliasing | Smooth edges |
| u | FXAA | Fast approximate |
| v | TAA | Temporal |
| w | SMAA | Subpixel morphological |
| x | Color grading | LUT-based |
| y | Vignette | Edge darkening |
| z | Chromatic aberration | Color fringing |
| aa | Film grain | Noise overlay |
| ab | Lens flares | Bright spots |
| ac | God rays | Volumetric light shafts |
| ad | Screen effects | Damage, underwater |

### Sous-module 3.2.10 : Terrain Rendering
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Heightmap terrain | Height from texture |
| b | Terrain mesh | Grid generation |
| c | Terrain chunks | Tiled rendering |
| d | Terrain LOD | Geomorphing |
| e | CDLOD | Chunked LOD |
| f | Clipmaps | GPU-based LOD |
| g | Texture splatting | Blend 4+ textures |
| h | Splat map | Per-vertex weights |
| i | Triplanar mapping | No UV stretching |
| j | Detail textures | Close-up detail |
| k | Normal mapping | Surface detail |
| l | Parallax mapping | Height illusion |
| m | Tessellation | GPU subdivision |
| n | Terrain holes | Cave entrances |
| o | Terrain streaming | Load visible |
| p | Terrain shadows | Self-shadowing |
| q | Terrain collision | Physics mesh sync |

### Sous-module 3.2.11 : Vegetation Rendering
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Grass rendering | Billboard quads |
| b | Grass instancing | GPU instances |
| c | Grass density | Per-area settings |
| d | Grass LOD | Fade with distance |
| e | Grass culling | Per-chunk |
| f | Grass animation | Wind sway |
| g | Wind system | Global wind direction |
| h | Tree rendering | Full meshes near |
| i | Tree LOD | Mesh to billboard |
| j | Tree impostors | Far distance |
| k | Impostor generation | Render to texture |
| l | SpeedTree | Professional trees |
| m | Foliage culling | Frustum, occlusion |
| n | Foliage shadows | Cast and receive |
| o | Foliage interaction | Player pushes grass |
| p | Foliage density maps | Placement data |
| q | Procedural placement | Runtime generation |

### Sous-module 3.2.12 : Water Rendering
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Water plane | Simple flat |
| b | Water mesh | Displacement |
| c | Wave animation | Gerstner waves |
| d | FFT ocean | Realistic waves |
| e | Reflection | Planar reflection |
| f | Reflection probe | Cubemap fallback |
| g | SSR for water | Screen-space |
| h | Refraction | Distorted scene |
| i | Fresnel | Angle-based blend |
| j | Water depth | Shallow vs deep |
| k | Depth fog | Murky underwater |
| l | Foam | Shore foam |
| m | Foam particles | Breaking waves |
| n | Caustics | Light patterns |
| o | Underwater rendering | Different post-fx |
| p | Water physics | Buoyancy integration |
| q | Water LOD | Distance simplification |

### Sous-module 3.2.13 : Sky Rendering
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Skybox | Cubemap background |
| b | Skybox rotation | Time-based |
| c | Procedural sky | Atmospheric scattering |
| d | Rayleigh scattering | Blue sky |
| e | Mie scattering | Haze |
| f | Sun disk | Bright spot |
| g | Sun color | Time-based |
| h | Moon rendering | Night sky |
| i | Moon phases | Lunar cycle |
| j | Stars | Night background |
| k | Star twinkle | Animation |
| l | Milky way | Galaxy band |
| m | Clouds | 2D or volumetric |
| n | Cloud layers | Multiple altitudes |
| o | Volumetric clouds | 3D raymarching |
| p | Cloud shadows | On terrain |
| q | Day/night blend | Smooth transitions |
| r | Weather integration | Overcast, storms |
| s | Aurora | Northern lights |

### Sous-module 3.2.14 : Fog & Atmospheric Effects
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Distance fog | Linear, exponential |
| b | Height fog | Low-lying |
| c | Volumetric fog | 3D density |
| d | Fog color | Time-based |
| e | Fog density | Thickness |
| f | Local fog volumes | Per-area |
| g | Atmospheric scattering | Light through air |
| h | God rays | Volumetric light |
| i | Dust particles | Floating motes |
| j | Rain rendering | Particle + screen |
| k | Snow rendering | Falling particles |
| l | Lightning | Flash effect |

### Sous-module 3.2.15 : Particle System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Particle concept | Many small objects |
| b | Emitter | Spawn source |
| c | Emission rate | Particles per second |
| d | Emission shape | Point, sphere, box, cone |
| e | Particle properties | Position, velocity, life, color, size |
| f | Initial velocity | Speed and direction |
| g | Velocity over life | Acceleration |
| h | Color over life | Gradient |
| i | Size over life | Grow/shrink |
| j | Rotation | Spin |
| k | Gravity | World forces |
| l | Collision | World interaction |
| m | Sub-emitters | Spawn on events |
| n | Particle rendering | Billboards |
| o | Soft particles | Depth fade |
| p | Lit particles | Receive lighting |
| q | GPU particles | Compute shader |
| r | Particle sorting | Back to front |
| s | Particle LOD | Distance culling |
| t | Effect types | Fire, smoke, sparks, blood, dust |
| u | Particle pooling | Reuse particles |

### Sous-module 3.2.16 : Decal System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Decal concept | Projected textures |
| b | Deferred decals | G-buffer modification |
| c | Forward decals | Mesh projection |
| d | Decal box | Projection volume |
| e | Decal orientation | Normal alignment |
| f | Decal blending | Alpha, multiply |
| g | Decal sorting | Priority |
| h | Decal fading | Distance, age |
| i | Bullet holes | Impact decals |
| j | Blood splatters | Damage decals |
| k | Dirt/grunge | Environmental |
| l | Decal pooling | Limit count |
| m | Decal streaming | Load on demand |

### Sous-module 3.2.17 : Level of Detail (LOD)
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | LOD concept | Distance-based detail |
| b | Discrete LOD | Mesh swapping |
| c | LOD levels | LOD0, LOD1, LOD2, etc. |
| d | LOD distances | Switch thresholds |
| e | LOD bias | User quality setting |
| f | LOD hysteresis | Prevent flickering |
| g | LOD blending | Crossfade |
| h | Dithered LOD | Stipple pattern |
| i | HLOD | Hierarchical LOD |
| j | Impostor LOD | Billboard at distance |
| k | Automatic LOD | Mesh simplification |
| l | LOD groups | Batch switching |
| m | Screen-size LOD | Pixel coverage |

### Sous-module 3.2.18 : Occlusion Culling
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Culling overview | Don't render hidden |
| b | Frustum culling | Outside view |
| c | AABB frustum test | Box vs planes |
| d | Sphere frustum test | Faster, less accurate |
| e | Hierarchical culling | BVH traversal |
| f | Occlusion culling | Behind objects |
| g | Software occlusion | CPU rasterize |
| h | Hardware occlusion | GPU queries |
| i | HZB | Hierarchical Z-buffer |
| j | Occlusion queries | Async readback |
| k | Occluder meshes | Simplified blockers |
| l | Portal culling | Room-based |
| m | PVS | Potentially visible sets |
| n | Culling debug | Visualize |

### Sous-module 3.2.19 : Render Optimizations
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Draw call batching | Combine draws |
| b | Static batching | Pre-combined |
| c | Dynamic batching | Runtime combine |
| d | GPU instancing | Same mesh many times |
| e | Indirect drawing | GPU-driven |
| f | State sorting | Minimize changes |
| g | Material sorting | Batch by material |
| h | Texture atlasing | Reduce binds |
| i | Vertex buffer merging | Reduce binds |
| j | Early-Z | Depth pre-pass |
| k | Reverse-Z | Better precision |
| l | Async compute | Parallel GPU work |
| m | Frame pipelining | Overlap CPU/GPU |
| n | Temporal techniques | Reuse previous |
| o | Variable rate shading | Lower rate far |
| p | Mesh shaders | Modern geometry |

### Sous-module 3.2.20 : Debug Rendering
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Debug lines | Wireframe |
| b | Debug boxes | AABB visualization |
| c | Debug spheres | Radius visualization |
| d | Debug capsules | Collider vis |
| e | Debug arrows | Direction vis |
| f | Debug text | 3D world text |
| g | Debug colors | Category coding |
| h | Persistent debug | Stay on screen |
| i | One-frame debug | Single frame |
| j | Debug categories | Toggle groups |
| k | Bone visualization | Skeleton display |
| l | Physics debug | Collision shapes |
| m | Nav mesh debug | Walkable areas |
| n | Frustum debug | Camera vis |

### Tests : Rendering Validation
| # | Test | Contenu |
|---|------|---------|
| a | Visual correctness | Compare screenshots |
| b | Performance targets | 60 FPS at settings |
| c | Memory budgets | VRAM limits |
| d | Edge cases | Extreme camera angles |
| e | Stress test | Maximum entities |
| f | Quality settings | All levels work |
| g | Resolution scaling | Different resolutions |
| h | Driver compatibility | AMD, NVIDIA, Intel |
| i | Shader compilation | All variants work |
| j | LOD transitions | Smooth switching |
| k | Shadow quality | All cascades work |
| l | Post-process | All effects work |

### LeetCode Rendering (Vendredi 10h)
| # | Problème | Difficulté |
|---|----------|------------|
| a | LC 200 Number of Islands | Medium |
| b | LC 733 Flood Fill | Easy |
| c | LC 48 Rotate Image | Medium |
| d | LC 54 Spiral Matrix | Medium |
| e | LC 73 Set Matrix Zeroes | Medium |
| f | LC 289 Game of Life | Medium |
| g | Matrix transformations | Custom |
| h | Frustum plane extraction | Custom |

### PROJET 3.2 : Complete Renderer (Samedi-Dimanche 32h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Render architecture | Forward+ or deferred |
| b | Shader system | Hot reload |
| c | Mesh loading | glTF, FBX |
| d | PBR materials | Metallic-roughness |
| e | Texture system | Streaming, compression |
| f | Camera system | FPS, free cam |
| g | Lighting | Directional, point, spot |
| h | Shadows | CSM, point shadows |
| i | Post-processing | HDR, bloom, SSAO, TAA |
| j | Terrain | Heightmap, splatting |
| k | Vegetation | Grass instancing |
| l | Water | Reflection, refraction |
| m | Sky | Procedural, clouds |
| n | Particles | Fire, smoke |
| o | Decals | Bullet holes, blood |
| p | LOD system | Mesh swapping |
| q | Occlusion culling | HZB |
| r | Debug rendering | Wireframes, shapes |
| s | Bonus : Volumetric fog | Raymarching |

---

## Module 3.3 : Animation System (Weeks 51-52, 140h, 2000 XP)

### Sous-module 3.3.1 : Animation Fundamentals
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Animation overview | Bringing models to life |
| b | Frame-based animation | Sprite sheets |
| c | Skeletal animation | Bone-based deformation |
| d | Morph targets | Blend shapes |
| e | Procedural animation | Code-driven |
| f | Physics-based | Ragdoll, cloth |
| g | Animation data | Curves, keyframes |
| h | Animation clip | Single animation |
| i | Animation time | Local time in clip |
| j | Animation speed | Playback rate |
| k | Looping | Repeat animation |
| l | Ping-pong | Forward then reverse |
| m | Animation events | Trigger at time |

### Sous-module 3.3.2 : Skeleton System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Skeleton concept | Hierarchy of bones |
| b | Bone | Transform node |
| c | Bone hierarchy | Parent-child |
| d | Root bone | Top of hierarchy |
| e | Bone index | ID for lookup |
| f | Bone name | String identifier |
| g | Bind pose | Reference pose |
